,entity,code,year,human_food,animal_feed,processed
117,Algeria,DZA,1972,0.0,1000.0,
118,Algeria,DZA,1973,0.0,0.0,
119,Algeria,DZA,1974,0.0,0.0,
120,Algeria,DZA,1975,0.0,0.0,
121,Algeria,DZA,1976,0.0,0.0,
122,Algeria,DZA,1977,0.0,0.0,
123,Algeria,DZA,1978,0.0,0.0,
124,Algeria,DZA,1979,0.0,0.0,
125,Algeria,DZA,1980,0.0,0.0,
126,Algeria,DZA,1981,0.0,0.0,
127,Algeria,DZA,1982,0.0,0.0,
128,Algeria,DZA,1983,0.0,0.0,
129,Algeria,DZA,1984,0.0,0.0,
130,Algeria,DZA,1985,0.0,0.0,
131,Algeria,DZA,1986,0.0,0.0,
132,Algeria,DZA,1987,0.0,0.0,
133,Algeria,DZA,1988,0.0,0.0,
134,Algeria,DZA,1989,0.0,0.0,
135,Algeria,DZA,1990,0.0,0.0,
136,Algeria,DZA,1991,0.0,0.0,
137,Algeria,DZA,1992,0.0,0.0,
138,Algeria,DZA,1993,0.0,0.0,
139,Algeria,DZA,1994,0.0,0.0,
140,Algeria,DZA,1995,0.0,0.0,
141,Algeria,DZA,1996,0.0,0.0,
142,Algeria,DZA,1997,0.0,0.0,
143,Algeria,DZA,1998,0.0,0.0,
144,Algeria,DZA,1999,0.0,0.0,
145,Algeria,DZA,2000,0.0,0.0,
146,Algeria,DZA,2001,0.0,0.0,
147,Algeria,DZA,2002,0.0,0.0,
148,Algeria,DZA,2003,0.0,1000.0,
149,Algeria,DZA,2004,0.0,44000.0,
150,Algeria,DZA,2005,0.0,0.0,
151,Algeria,DZA,2006,0.0,0.0,
152,Algeria,DZA,2007,0.0,0.0,
153,Algeria,DZA,2008,0.0,0.0,
154,Algeria,DZA,2009,0.0,0.0,
155,Algeria,DZA,2010,0.0,0.0,
156,Algeria,DZA,2011,0.0,0.0,
157,Algeria,DZA,2012,0.0,0.0,
158,Algeria,DZA,2013,0.0,0.0,
159,Americas,,1961,7000.0,96000.0,11656000.0
160,Americas,,1962,8000.0,139000.0,12463000.0
161,Americas,,1963,8000.0,146000.0,13653000.0
162,Americas,,1964,12000.0,113000.0,12849000.0
163,Americas,,1965,19000.0,130000.0,13989000.0
164,Americas,,1966,19000.0,141000.0,15714000.0
165,Americas,,1967,22000.0,147000.0,16375000.0
166,Americas,,1968,24000.0,294000.0,16914000.0
167,Americas,,1969,27000.0,290000.0,17953000.0
168,Americas,,1970,32000.0,160000.0,22182000.0
169,Americas,,1971,40000.0,258000.0,23291000.0
